Date,Value
12/28/2013,11.80259669
12/27/2013,13.52135419
12/26/2013,11.77737607
12/25/2013,12.45799785
12/24/2013,12.64534115
12/23/2013,11.43633559
12/22/2013,11.14297494
12/21/2013,14.69955031
12/20/2013,16.24572703
12/19/2013,15.81127156
12/18/2013,18.50617393
12/17/2013,16.22399978
12/16/2013,14.01108799
12/15/2013,11.2711577
12/14/2013,13.21918752
12/13/2013,14.94454362
12/12/2013,14.89978988
12/11/2013,17.69299634
12/10/2013,19.97697104
12/9/2013,12.81918828
12/8/2013,32.37259238
12/7/2013,20.50910369
12/6/2013,18.58752694
12/5/2013,21.98836499
12/4/2013,21.13728202
12/3/2013,21.85614673
12/2/2013,19.64441022
12/1/2013,17.71816338
11/30/2013,22.01670436
11/29/2013,25.92092417
11/28/2013,32.98440093
11/27/2013,28.13438242
11/26/2013,24.05961565
11/25/2013,19.27979672
11/24/2013,17.57820997
11/23/2013,21.86122464
11/22/2013,23.61058302
11/21/2013,26.57492613
11/20/2013,25.18151883
11/19/2013,32.54373365
11/18/2013,25.27467522
11/17/2013,15.1031091
11/16/2013,15.43971301
11/15/2013,18.56994291
11/14/2013,23.93546077
11/13/2013,24.28778395
11/12/2013,20.0940219
11/11/2013,62.00580352
11/10/2013,52.48680278
11/9/2013,86.29385375
11/8/2013,108.1932055
11/7/2013,117.8109883
11/6/2013,118.3737812
11/5/2013,47.14006645
11/4/2013,67.37958812
11/3/2013,24.97396102
11/2/2013,23.87084674
11/1/2013,35.40296681
10/31/2013,30.03529546
10/30/2013,38.08800627
10/29/2013,26.14906747
10/28/2013,43.74981757
10/27/2013,44.03445576
10/26/2013,53.66366945
10/25/2013,46.75449972
10/24/2013,49.26787775
10/23/2013,36.67520171
10/22/2013,41.67292026
10/21/2013,36.82997401
10/20/2013,27.8955071
10/19/2013,35.8234771
10/18/2013,45.53965756
10/17/2013,39.50246713
10/16/2013,36.84323895
10/15/2013,46.86833704
10/14/2013,24.76312632
10/13/2013,31.15736732
10/12/2013,32.21519984
10/11/2013,28.46158064
10/10/2013,29.73024401
10/9/2013,25.13904198
10/8/2013,16.18054086
10/7/2013,32.99949234
10/6/2013,21.98375278
10/5/2013,26.70745176
10/4/2013,33.53991469
10/3/2013,40.37392697
10/2/2013,35.39513493
10/1/2013,36.02532288
9/30/2013,26.00052268
9/29/2013,19.75447388
9/28/2013,27.84186309
9/27/2013,82.75466408
9/26/2013,28.01795022
9/25/2013,30.8215087
9/24/2013,31.74116641
9/23/2013,36.37139814
9/22/2013,27.4817632
9/21/2013,26.17798718
9/20/2013,35.98775791
9/19/2013,111.427816
9/18/2013,303.0384485
9/17/2013,90.93785999
9/16/2013,29.82849822
9/15/2013,24.16845305
9/14/2013,21.9094985
9/13/2013,26.42562521
9/12/2013,24.96850657
9/11/2013,23.61451906
9/10/2013,28.07548626
9/9/2013,30.43641891
9/8/2013,22.51021597
9/7/2013,27.40258306
9/6/2013,33.00862693
9/5/2013,34.00943099
9/4/2013,24.59734787
9/3/2013,30.91428847
9/2/2013,46.83183395
9/1/2013,25.28747187
8/31/2013,32.35235089
8/30/2013,43.30645342
8/29/2013,44.63568124
8/28/2013,243.5203389
8/27/2013,51.94695338
8/26/2013,27.45229801
8/25/2013,30.74091178
8/24/2013,28.06437009
8/23/2013,35.02624015
8/22/2013,37.04061907
8/21/2013,34.14204628
8/20/2013,45.78527809
8/19/2013,37.81465044
8/18/2013,44.92668611
8/17/2013,29.42751688
8/16/2013,45.60521477
8/15/2013,64.02507935
8/14/2013,43.02378882
8/13/2013,29.55608972
8/12/2013,24.14323112
8/11/2013,33.93550069
8/10/2013,29.35579481
8/9/2013,45.849913
8/8/2013,49.6207779
8/7/2013,30.18051369
8/6/2013,40.53861293
8/5/2013,27.05473128
8/4/2013,32.74170112
8/3/2013,28.01755065
8/2/2013,41.01530553
8/1/2013,31.49185887
7/31/2013,45.52101435
7/30/2013,37.36421201
7/29/2013,30.87144133
7/28/2013,19.93133624
7/27/2013,30.69502419
7/26/2013,22.80421394
7/25/2013,34.86795346
7/24/2013,32.92301081
7/23/2013,31.91271509
7/22/2013,21.9931243
7/21/2013,26.49400011
7/20/2013,21.48857703
7/19/2013,33.02637011
7/18/2013,27.59409047
7/17/2013,33.40695216
7/16/2013,34.01475967
7/15/2013,23.34949228
7/14/2013,31.82965821
7/13/2013,25.13594621
7/12/2013,32.05021445
